ANP,SECTOR,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,PROCEDENCIA,EDAD,FECHA,VISITAS_E1,VISITAS_E2A3,VISITAS_E3A30,FECHA_CORTE,TIPO_ESTADIA_PREDOMINANTE,ANIO,MES
SN de Calipuy,Mirador Puya Raimondi,LA LIBERTAD,SANTIAGO DE CHUCO,SANTIAGO DE CHUCO,131001.0,LOCAL,MENOR,20220731,24,0,0,20240527,1 día,2022,7
PN Huascarán,Llaca,ANCASH,HUARAZ,INDEPENDENCIA,20105.0,EXTRANJERO,ADULTO,20231031,51,42,0,20240527,1 día,2023,10
PN de Tingo María,Cueva de las Lechuzas,HUANUCO,LEONCIO PRADO,MARIANO DAMASO BERAUN,100606.0,NACIONAL,ADULTO,20230630,5774,0,0,20240527,1 día,2023,6
RN Pacaya-Samiria,Nauta Caño,LORETO,LORETO,PARINARI,160302.0,EXTRANJERO,MENOR,20230630,13,0,0,20240527,1 día,2023,6
RN de Paracas,No especificado,ICA,No especificado,No especificado,0.0,LOCAL,MENOR,20231130,10016,0,0,20240527,1 día,2023,11
RN de Lachay,No especificado,LIMA,HUAURA,HUACHO,150801.0,NACIONAL,MENOR,20220228,52,0,0,20240527,1 día,2022,2
PN Huascarán,Purhuay,ANCASH,HUARAZ,INDEPENDENCIA,20105.0,NACIONAL,ADULTO,20220731,161,0,0,20240527,1 día,2022,7
PN Huascarán,Churup,ANCASH,HUARAZ,INDEPENDENCIA,20105.0,LOCAL,MENOR,20231130,12,0,0,20240527,1 día,2023,11
SN Lagunas de Mejía,No especificado,AREQUIPA,ISLAY,DEAN VALDIVIA,40703.0,LOCAL,MENOR,20230831,81,0,0,20240527,1 día,2023,8
SH de Chacamarca,No especificado,JUNIN,JUNIN,JUNIN,120501.0,LOCAL,ADULTO,20220131,417,0,0,20240527,1 día,2022,1
PN Huascarán,Carpa,ANCASH,HUARAZ,INDEPENDENCIA,20105.0,LOCAL,MENOR,20230430,71,0,0,20240527,1 día,2023,4
